Period,Code,Sex,Age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,80-84,8.07994,8.01569,8.14418,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,85-89,5.83803,5.76635,5.90971,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,90plus,4.32256,4.21376,4.43136,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,lessthan1,82.58106,82.48356,82.67856,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,01-04,81.90006,81.80894,81.99117,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,05-09,77.95534,77.86536,78.04531,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,10-14,72.98361,72.89423,73.07298,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,15-19,68.02703,67.93845,68.11561,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,20-24,63.09311,63.00554,63.18069,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,25-29,58.16372,58.07709,58.25035,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,30-34,53.25235,53.1669,53.3378,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,35-39,48.35878,48.2747,48.44286,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,40-44,43.52045,43.43796,43.60294,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,45-49,38.73127,38.65035,38.8122,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,50-54,34.03133,33.95234,34.11031,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,55-59,29.43882,29.36248,29.51517,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,60-64,25.00253,24.92948,25.07558,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,65-69,20.72959,20.65937,20.79982,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,70-74,16.66764,16.60112,16.73417,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,75-79,12.8968,12.83446,12.95914,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,80-84,9.56956,9.51056,9.62855,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,85-89,6.85267,6.79264,6.91271,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,F,90plus,4.77002,4.69322,4.84683,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,lessthan1,78.30949,78.21473,78.40424,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,01-04,77.81189,77.7241,77.89969,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,05-09,73.86978,73.78282,73.95674,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,10-14,68.91142,68.82507,68.99777,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,15-19,63.93849,63.85249,64.0245,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,20-24,59.04559,58.96074,59.13044,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,25-29,54.19928,54.11597,54.2826,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,30-34,49.37024,49.28855,49.45192,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,35-39,44.58104,44.50133,44.66075,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,40-44,39.85353,39.77585,39.93121,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,45-49,35.19185,35.11609,35.26761,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,50-54,30.64283,30.56928,30.71639,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,55-59,26.23886,26.16816,26.30956,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,60-64,22.03771,21.97033,22.10509,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,65-69,18.07438,18.00971,18.13906,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,70-74,14.35664,14.29479,14.41849,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,75-79,11.00608,10.94662,11.06554,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,80-84,8.1531,8.09374,8.21246,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,85-89,5.84394,5.77723,5.91065,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,M,90plus,4.3631,4.26137,4.46482,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,lessthan1,82.41617,82.3257,82.50665,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,01-04,81.85921,81.77602,81.9424,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,05-09,77.90357,77.82114,77.98601,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,10-14,72.93936,72.85755,73.02116,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,15-19,67.96953,67.88819,68.05087,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,20-24,63.03104,62.9505,63.11158,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,25-29,58.10215,58.02245,58.18185,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,30-34,53.20006,53.12144,53.27868,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,35-39,48.30807,48.23062,48.38553,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,40-44,43.47536,43.39936,43.55136,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,45-49,38.69248,38.61793,38.76703,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,50-54,34.01664,33.944,34.08928,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,55-59,29.43098,29.36082,29.50115,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,60-64,25.02051,24.95351,25.08751,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,65-69,20.76682,20.70263,20.83101,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,70-74,16.71592,16.65504,16.7768,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,75-79,12.96374,12.90638,13.0211,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,80-84,9.65765,9.60284,9.71246,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,85-89,6.95808,6.90157,7.01459,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000005,F,90plus,4.97833,4.90494,5.05172,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,lessthan1,79.71036,79.62102,79.79971,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,01-04,79.05301,78.96876,79.13727,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,05-09,75.09975,75.0162,75.1833,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,10-14,70.12286,70.03967,70.20605,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,15-19,65.15565,65.0729,65.23841,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,20-24,60.26909,60.18769,60.35049,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,25-29,55.41246,55.33275,55.49218,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,30-34,50.58755,50.50967,50.66543,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,35-39,45.77322,45.69713,45.8493,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,40-44,41.0113,40.93705,41.08555,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,45-49,36.29622,36.22365,36.36879,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,50-54,31.67388,31.60322,31.74455,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,55-59,27.17651,27.10834,27.24469,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,60-64,22.87042,22.80538,22.93546,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,65-69,18.75202,18.68937,18.81467,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,70-74,14.87984,14.82018,14.93949,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,75-79,11.42143,11.36476,11.47809,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,80-84,8.38224,8.32653,8.43794,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,85-89,5.96211,5.90139,6.02283,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,M,90plus,4.26014,4.17199,4.3483,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,lessthan1,83.37503,83.29065,83.45941,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,01-04,82.66749,82.58823,82.74674,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,05-09,78.72278,78.64452,78.80104,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,10-14,73.74914,73.67137,73.82691,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,15-19,68.77641,68.69908,68.85374,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,20-24,63.83176,63.75524,63.90829,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,25-29,58.90104,58.82549,58.9766,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,30-34,53.99406,53.91963,54.06849,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,35-39,49.10838,49.03521,49.18155,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,40-44,44.24361,44.17162,44.3156,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,45-49,39.43954,39.36889,39.51018,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,50-54,34.70307,34.634,34.77214,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,55-59,30.08969,30.02296,30.15642,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,60-64,25.59177,25.52781,25.65573,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,65-69,21.26163,21.20011,21.32315,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,70-74,17.11402,17.05578,17.17226,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,75-79,13.26644,13.21194,13.32095,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,80-84,9.82675,9.77513,9.87837,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,85-89,6.97476,6.92247,7.02705,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000006,F,90plus,4.88445,4.81806,4.95084,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,lessthan1,79.15733,79.07009,79.24458,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,01-04,78.55064,78.4666,78.63469,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,05-09,74.613,74.5295,74.69649,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,10-14,69.64879,69.56567,69.73191,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,15-19,64.68639,64.60364,64.76914,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000007,M,20-24,59.79106,59.70923,59.87288,LE
