Period,Code,Sex,age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,90plus,4.19637,4.00043,4.39231,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,lessthan1,81.85212,81.69087,82.01338,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,01-04,81.24183,81.09043,81.39322,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,05-09,77.29696,77.14701,77.44691,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,10-14,72.33381,72.18488,72.48275,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,15-19,67.36562,67.21743,67.5138,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,20-24,62.46188,62.31568,62.60808,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,25-29,57.55484,57.41038,57.6993,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,30-34,52.64843,52.50553,52.79133,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,35-39,47.74594,47.60457,47.88731,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,40-44,42.91327,42.77413,43.05242,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,45-49,38.16769,38.03123,38.30415,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,50-54,33.49979,33.36637,33.63321,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,55-59,28.9695,28.84031,29.09869,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,60-64,24.5915,24.46797,24.71503,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,65-69,20.36155,20.2435,20.4796,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,70-74,16.3357,16.22349,16.4479,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,75-79,12.6978,12.59251,12.80309,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,80-84,9.41571,9.31505,9.51637,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,85-89,6.74318,6.63918,6.84718,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,90plus,4.6994,4.56496,4.83384,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,lessthan1,76.22505,76.12717,76.32293,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,01-04,75.55803,75.46532,75.65075,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,05-09,71.61044,71.51857,71.70232,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,10-14,66.65132,66.56011,66.74253,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,15-19,61.67812,61.58727,61.76897,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,20-24,56.84196,56.75292,56.93099,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,25-29,52.07415,51.98734,52.16096,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,30-34,47.37112,47.28708,47.45517,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,35-39,42.71404,42.63322,42.79487,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,40-44,38.10826,38.03048,38.18605,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,45-49,33.5851,33.51,33.6602,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,50-54,29.10363,29.03086,29.17641,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,55-59,24.79574,24.72576,24.86573,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,60-64,20.70908,20.64239,20.77577,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,65-69,16.87769,16.81358,16.94181,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,70-74,13.40328,13.34248,13.46408,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,75-79,10.3306,10.27226,10.38894,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,80-84,7.64839,7.58976,7.70703,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,85-89,5.58291,5.51668,5.64915,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,90plus,4.00979,3.90856,4.11102,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,lessthan1,80.60126,80.51209,80.69043,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,01-04,79.86792,79.78388,79.95195,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,05-09,75.92033,75.83735,76.00331,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,10-14,70.94538,70.86291,71.02785,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,15-19,65.98032,65.89846,66.06218,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,20-24,61.0727,60.99214,61.15326,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,25-29,56.16826,56.08883,56.2477,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,30-34,51.28852,51.21041,51.36662,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,35-39,46.45815,46.38192,46.53438,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,40-44,41.67843,41.60414,41.75272,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,45-49,36.96078,36.88833,37.03323,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,50-54,32.33316,32.26271,32.4036,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,55-59,27.86397,27.79623,27.93171,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,60-64,23.52159,23.45704,23.58613,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,65-69,19.40627,19.34484,19.46769,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,70-74,15.56049,15.50314,15.61784,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,75-79,12.04343,11.98994,12.09693,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,80-84,8.95968,8.90873,9.01064,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,85-89,6.43009,6.37785,6.48233,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,90plus,4.44646,4.37821,4.51471,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,lessthan1,77.84887,77.72302,77.97473,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,M,01-04,77.21379,77.09552,77.33207,LE
