Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,85-89,2.03394,1.63115,2.43673,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,90plus,1.23894,0.86483,1.61305,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,lessthan1,61.05258,60.69192,61.41324,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,01-04,60.36662,60.0046,60.72864,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,05-09,56.6105,56.25198,56.96903,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,10-14,51.91568,51.56334,52.26802,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,15-19,47.23746,46.89212,47.5828,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,20-24,42.71207,42.37417,43.04996,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,25-29,38.3054,37.97515,38.63565,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,30-34,34.02697,33.70768,34.34625,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,35-39,29.87857,29.56819,30.18895,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,40-44,25.8859,25.58756,26.18424,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,45-49,22.06401,21.77528,22.35275,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,50-54,18.3916,18.11245,18.67075,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,55-59,15.00313,14.73379,15.27247,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,60-64,11.94729,11.68823,12.20636,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,65-69,9.26559,9.01085,9.52032,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,70-74,6.91943,6.66748,7.17137,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,75-79,4.95619,4.69713,5.21525,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,80-84,3.37903,3.12308,3.63497,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,85-89,2.26348,2.04803,2.47893,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,M,90plus,1.53078,1.32481,1.73676,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,lessthan1,63.0397,62.66574,63.41366,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,01-04,62.29604,61.92104,62.67104,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,05-09,58.5399,58.16806,58.91174,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,10-14,53.84364,53.47767,54.20961,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,15-19,49.19985,48.84071,49.559,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,20-24,44.67904,44.32814,45.02994,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,25-29,40.24545,39.90383,40.58706,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,30-34,35.91483,35.58349,36.24617,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,35-39,31.71396,31.39309,32.03483,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,40-44,27.66563,27.3552,27.97607,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,45-49,23.78688,23.48605,24.0877,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,50-54,20.10381,19.81217,20.39545,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,55-59,16.68013,16.39904,16.96122,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,60-64,13.49719,13.22725,13.76714,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,65-69,10.57333,10.3108,10.83587,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,S92000003,F,70-74,7.96721,7.71017,8.22425,HLE
